customer_id,age,gender,region,tenure_months,contract_type,usage_prev_30d_gb,usage_last_30d_gb,avg_call_minutes,support_tickets_last_90d,avg_ticket_resolution_days,monthly_charges,total_charges,late_payments_last_6m,payment_method,churn
100171,23,Male,South,55,One year,83.3,72.36,51.6,0,2.81,39.17,2201.7,1,Digital wallet,1
100172,61,Female,South,11,Month-to-month,43.81,18.19,204.9,0,2.17,45.65,496.66,0,Bank transfer,0
100173,59,Male,South,45,Two year,22.53,19.39,143.5,2,3.62,39.44,1784.12,1,Bank transfer,0
100174,57,Male,South,50,Month-to-month,42.64,20.02,181.3,1,1.77,64.87,3294.76,0,Mailed check,0
100175,44,Male,West,11,Two year,11.15,12.23,127.2,1,0.72,84.8,846.66,0,Bank transfer,0
100176,58,Female,East,8,Month-to-month,37.61,41.59,47.4,1,2.19,77.09,578.07,1,Bank transfer,1
100177,27,Female,South,6,Month-to-month,23.75,24.8,88.1,1,2.88,66.39,414.57,0,Digital wallet,1
100178,69,Female,South,51,One year,17.94,19.86,225.5,2,3.42,30.08,1449.8,0,Credit card,0
100179,46,Female,South,44,Month-to-month,15.62,17.67,101.0,2,2.22,107.53,4331.6,0,Bank transfer,0
100180,71,Male,North,9,Month-to-month,34.82,36.77,96.7,0,3.76,60.62,546.93,1,Digital wallet,0
100181,26,Female,South,36,Two year,35.66,40.06,239.5,0,0.49,55.5,1911.98,1,Digital wallet,1
100182,46,Male,,57,One year,15.44,17.38,124.7,2,3.97,70.77,4130.23,0,Mailed check,1
100183,57,Female,East,17,One year,23.95,22.33,212.0,0,3.35,23.54,394.9,0,Digital wallet,0
100184,46,Male,North,44,Two year,32.58,36.98,102.0,0,1.83,63.55,2932.6,0,Credit card,0
100185,43,Female,East,21,Month-to-month,25.46,29.15,59.5,1,4.07,59.78,1264.67,1,Digital wallet,1
100186,27,Male,East,19,Month-to-month,78.32,73.14,21.0,0,2.97,60.72,1150.76,0,Bank transfer,1
100187,39,Female,,28,Two year,32.96,14.06,100.6,1,4.42,95.51,2605.01,1,Credit card,1
100188,31,Male,East,26,Month-to-month,33.1,34.37,116.5,0,1.33,33.74,797.95,0,Credit card,0
100189,35,Male,East,36,Month-to-month,53.02,48.57,200.6,0,1.48,64.03,2085.91,1,Credit card,1
100190,56,Female,West,15,Month-to-month,39.98,38.71,5.9,0,3.32,49.59,753.02,2,Mailed check,1
100191,53,Male,North,28,Month-to-month,41.84,43.4,151.2,1,2.6,59.61,1692.66,0,Bank transfer,0
100192,52,Male,North,45,Month-to-month,37.34,32.16,110.5,1,0.34,85.79,3596.16,1,Bank transfer,0
100193,38,Male,South,28,Month-to-month,45.65,47.65,98.4,1,5.31,61.78,1700.0,0,Credit card,1
100194,72,Male,North,47,One year,22.13,22.04,302.5,1,5.13,58.14,2593.61,0,Bank transfer,0
100195,22,Male,South,9,One year,9.92,8.8,144.1,0,2.79,15.0,136.37,0,Digital wallet,1
100196,37,Female,West,10,Two year,54.18,27.02,244.8,0,1.47,84.61,865.5,1,Digital wallet,0
100197,24,Male,North,62,Month-to-month,31.61,33.36,67.8,1,1.5,24.42,1462.93,1,Digital wallet,0
100198,37,Male,South,33,Month-to-month,25.7,29.11,85.4,3,3.08,53.23,1762.7,0,Digital wallet,0
100199,72,Male,West,44,One year,16.21,3.8,201.6,0,4.65,43.59,1830.05,0,Digital wallet,0
100200,38,Female,South,53,Month-to-month,14.99,12.75,61.4,0,6.47,15.0,777.79,1,Digital wallet,0
100201,69,Female,South,11,Month-to-month,30.46,29.89,63.6,0,2.05,68.47,761.47,1,Bank transfer,0
100202,46,Male,East,70,One year,28.45,25.26,56.1,0,1.97,54.45,3499.89,0,Credit card,0
100203,57,Male,North,31,One year,54.63,25.86,78.1,0,,77.84,2178.34,0,Bank transfer,1
100204,44,Male,North,64,Month-to-month,38.33,34.96,127.8,1,3.11,78.61,5015.79,0,Credit card,1
100205,33,Female,East,30,One year,46.27,21.09,150.3,0,1.22,80.38,2455.69,0,Bank transfer,0
100206,61,Female,South,29,One year,50.34,14.65,121.0,0,0.46,77.68,2239.55,0,Mailed check,1
100207,73,Female,North,43,Two year,32.28,32.2,,3,2.15,77.33,3083.7,0,Bank transfer,0
100208,33,Male,North,14,Month-to-month,67.15,62.94,113.0,3,2.96,88.87,1213.87,0,Credit card,1
100209,62,Female,West,44,One year,23.97,25.05,246.2,1,5.07,73.97,3127.29,1,Bank transfer,0
100210,32,Male,North,70,One year,48.78,45.33,111.1,3,0.88,70.36,5130.29,0,Digital wallet,0
100211,58,Female,East,46,Month-to-month,9.32,10.09,85.9,0,4.19,60.82,2808.19,0,Bank transfer,0
100212,62,Female,South,5,One year,10.32,9.34,18.0,0,2.35,71.45,349.36,0,Digital wallet,0
100213,43,Male,East,50,One year,9.54,10.71,105.0,3,2.13,78.0,3742.76,1,Digital wallet,1
100214,60,Female,North,3,Month-to-month,25.4,11.87,196.5,0,0.17,77.27,220.42,0,Credit card,1
100215,33,Female,North,8,Month-to-month,10.85,10.53,32.8,1,3.09,60.51,445.46,0,Bank transfer,1
100216,22,Male,South,21,Month-to-month,21.87,18.96,46.3,0,,578.0087992824831,2492.54,0,Credit card,1
100217,23,Male,East,22,One year,21.58,9.31,79.8,1,5.9,103.28,2228.76,0,Credit card,1
100218,43,Male,North,1,Month-to-month,74.46,65.52,72.6,0,2.11,44.5,40.57,0,Credit card,0
100219,69,Female,South,2,Month-to-month,25.0,12.41,,0,4.83,64.79,124.58,0,Credit card,1
100220,25,Male,South,57,Month-to-month,35.11,16.92,285.0,0,2.04,105.27,6090.09,1,Digital wallet,1
100221,43,Male,North,33,One year,44.11,44.54,53.9,2,1.99,42.84,1303.16,0,Credit card,1
100222,58,Female,East,15,One year,6.92,2.78,71.5,0,0.1,34.09,519.83,0,Bank transfer,0
100223,29,Male,North,31,Month-to-month,61.29,36.2,99.7,0,4.22,131.9,3960.9,0,Credit card,0
100224,59,Male,South,50,Month-to-month,36.13,40.58,67.9,0,2.71,52.84,2405.24,0,Mailed check,0
100225,35,Female,North,53,Month-to-month,51.33,51.57,117.0,1,2.49,15.0,827.61,0,Bank transfer,0
100226,64,Female,South,21,Month-to-month,36.76,36.21,147.4,0,2.06,44.42,865.54,0,Digital wallet,1
100227,51,Female,South,12,One year,14.19,5.37,72.8,0,2.85,54.28,590.33,0,Digital wallet,1
100228,49,Male,South,69,Month-to-month,14.14,15.29,179.7,0,1.43,85.22,5759.79,0,Bank transfer,0
100229,28,Male,South,45,One year,47.03,43.18,87.3,0,3.17,65.82,2731.93,0,Credit card,0
100230,44,Male,West,70,One year,21.53,9.41,67.5,0,1.07,29.72,1887.58,1,Credit card,0
100231,66,Female,South,22,Two year,4.81,1.99,38.8,2,2.3,15.0,330.29,0,Bank transfer,0
100232,19,Male,,8,Month-to-month,22.35,23.53,156.3,0,3.25,77.19,565.77,0,Bank transfer,0
100233,61,Male,North,28,Month-to-month,28.41,26.01,129.9,1,4.61,66.48,1944.92,0,Bank transfer,1
100234,46,Female,South,24,Month-to-month,55.27,24.48,51.8,0,2.81,95.12,2332.61,0,Digital wallet,0
100235,59,Female,North,52,Two year,28.4,17.04,62.2,2,4.44,49.04,2628.44,0,Digital wallet,0
100236,55,Female,South,51,One year,27.78,30.66,,0,2.48,58.15,2966.68,0,Credit card,0
100237,42,Male,East,6,One year,36.58,40.77,150.5,0,1.1,51.4,302.78,0,Credit card,1
100238,35,Female,West,42,One year,54.59,49.59,132.6,1,5.62,49.55,2086.67,1,Credit card,0
100239,53,Male,East,25,Month-to-month,21.1,18.85,155.8,0,2.33,74.46,1839.05,0,Credit card,1
100240,25,Female,East,44,One year,35.68,19.8,335.5,0,3.92,53.43,2400.75,1,Bank transfer,0
100241,51,Male,North,28,Two year,20.65,22.03,181.5,0,1.57,22.75,591.01,0,Credit card,0
100242,23,Female,North,39,Month-to-month,57.15,59.77,158.7,2,3.28,311.39668681657463,3503.94,0,Credit card,0
100243,55,Male,West,51,Two year,64.28,66.63,77.3,1,3.02,70.36,3594.4,0,Credit card,0
100244,53,Female,North,21,Two year,31.69,31.78,48.2,2,2.5,81.31,1587.91,0,Digital wallet,1
100245,22,Male,North,15,Two year,34.16,30.36,225.8,1,5.54,97.62,1533.09,0,Bank transfer,0
100246,61,Female,West,51,Two year,28.11,29.96,79.9,0,3.14,59.64,2805.87,0,Mailed check,0
100247,41,Male,West,68,Month-to-month,10.2,9.17,140.2,1,1.94,59.76,4060.58,0,Mailed check,0
100248,62,Male,East,32,One year,28.02,28.38,37.4,2,4.86,37.88,1235.99,1,Digital wallet,1
100249,20,Male,South,71,Month-to-month,29.32,6.48,27.6,1,0.1,86.3,5775.71,1,Digital wallet,0
100250,28,Female,West,14,One year,22.46,21.42,180.6,0,0.31,26.03,364.65,1,Credit card,0
100251,46,Male,North,59,Month-to-month,23.42,22.23,66.5,0,3.82,69.88,4302.42,1,Digital wallet,1
100252,28,Male,South,71,Two year,37.29,41.01,139.5,0,2.84,77.91,5769.7,0,Bank transfer,0
100253,36,Female,South,22,Month-to-month,33.47,14.97,67.0,0,1.68,31.91,,2,Digital wallet,1
100254,55,Male,West,11,Month-to-month,23.87,23.55,,0,3.09,95.71,965.55,0,Credit card,1
