machine_id,hour,operating_hours,hours_since_maintenance,temperature_c,vibration_mm_s,pressure_kpa,failure_event
1,55,55,56,65.82,0.385,101.64,0
1,56,56,57,63.01,0.304,105.34,0
1,57,57,58,64.09,0.485,101.92,0
1,58,58,59,64.21,0.389,103.58,0
1,59,59,60,64.46,0.432,102.06,0
1,60,60,61,67.12,0.532,102.96,0
1,61,61,62,63.99,0.284,104.37,0
1,62,62,63,66.74,0.433,103.35,0
1,63,63,64,66.41,0.55,104.3,0
1,64,64,65,64.18,0.632,98.88,0
1,65,65,66,66.55,0.509,104.18,0
1,66,66,67,68.38,0.628,99.14,0
1,67,67,68,61.96,0.548,99.46,0
1,68,68,69,64.98,0.551,97.89,0
1,69,69,70,61.2,0.481,102.11,0
1,70,70,71,64.56,0.455,99.85,0
1,71,71,72,62.28,0.43,99.57,0
1,72,72,73,62.04,0.511,101.85,0
1,73,73,74,65.73,0.331,100.35,0
1,74,74,75,63.2,0.344,102.49,0
1,75,75,76,63.59,0.493,102.85,0
1,76,76,77,68.65,0.283,104.22,0
1,77,77,78,64.84,0.448,98.38,0
1,78,78,79,64.17,0.539,101.79,0
1,79,79,80,65.15,0.415,104.89,0
1,80,80,81,64.96,0.186,100.27,0
1,81,81,82,61.46,0.06,100.67,0
1,82,82,83,67.4,0.456,99.07,0
1,83,83,84,63.31,0.586,102.39,0
1,84,84,85,65.09,0.444,102.1,0
1,85,85,86,66.45,0.516,102.54,0
1,86,86,87,63.12,0.511,100.29,0
1,87,87,88,66.97,0.297,101.66,0
1,88,88,89,64.99,0.291,106.3,0
1,89,89,90,67.63,0.394,103.93,0
1,90,90,91,65.68,0.136,102.63,0
1,91,91,92,64.89,0.46,99.31,0
1,92,92,93,64.52,0.429,104.97,0
1,93,93,94,65.6,0.449,105.82,0
1,94,94,95,64.0,0.403,97.46,0
1,95,95,96,67.82,0.566,104.29,0
1,96,96,97,66.2,0.463,102.54,0
1,97,97,98,64.55,0.426,102.14,0
1,98,98,99,67.72,0.517,101.85,0
1,99,99,100,63.96,0.374,106.01,0
1,100,100,101,65.91,0.458,101.13,0
1,101,101,102,63.0,0.442,104.18,0
1,102,102,103,64.29,0.423,101.45,0
1,103,103,104,65.2,0.259,101.41,0
1,104,104,105,63.46,0.556,100.07,0
1,105,105,106,66.04,0.633,101.22,0
1,106,106,107,63.92,0.473,101.99,0
1,107,107,108,63.21,0.505,107.04,0
1,108,108,109,64.54,0.426,99.39,0
1,109,109,110,65.57,0.3,99.23,0
1,110,110,111,67.3,0.341,104.7,0
1,111,111,112,67.74,0.481,103.38,0
1,112,112,113,68.51,0.426,100.52,0
1,113,113,114,62.56,0.455,105.7,0
1,114,114,115,66.73,0.337,99.86,0
1,115,115,116,64.09,0.485,101.49,0
1,116,116,117,65.39,0.486,101.25,0
1,117,117,118,64.93,0.475,101.79,0
1,118,118,119,65.91,0.675,103.48,0
1,119,119,120,65.1,0.248,102.97,0
1,120,120,121,61.5,0.281,104.14,0
1,121,121,122,66.27,0.432,97.72,0
1,122,122,123,64.33,0.369,103.59,0
1,123,123,124,69.06,0.476,100.05,0
1,124,124,125,62.89,0.443,101.56,0
1,125,125,126,62.93,0.464,99.12,0
1,126,126,127,67.0,0.578,104.71,0
1,127,127,128,64.15,0.512,101.67,0
1,128,128,129,64.3,0.409,98.75,0
1,129,129,130,62.4,0.545,101.52,0
1,130,130,131,65.39,0.57,97.67,0
1,131,131,132,63.59,0.471,102.98,0
1,132,132,133,64.32,0.574,102.53,0
1,133,133,134,62.82,0.338,104.01,0
1,134,134,135,65.83,0.222,105.37,0
1,135,135,136,66.08,0.611,101.04,0
1,136,136,137,64.47,0.315,108.34,0
1,137,137,138,64.68,0.641,100.38,0
1,138,138,139,65.29,0.249,101.04,0
1,139,139,140,66.77,0.3,104.68,0
1,140,140,141,65.61,0.325,100.75,0
1,141,141,142,64.17,0.444,100.66,0
1,142,142,143,63.51,0.413,99.43,0
1,143,143,144,62.68,0.444,104.21,0
1,144,144,145,62.25,0.45,100.38,0
1,145,145,146,63.24,0.552,100.7,0
1,146,146,147,67.7,0.356,102.97,0
1,147,147,148,64.59,0.36,103.47,0
1,148,148,149,64.72,0.522,101.88,0
1,149,149,150,63.05,0.438,102.13,0
1,150,150,151,66.73,0.341,101.9,0
1,151,151,152,61.9,0.528,99.3,0
1,152,152,153,61.75,0.443,104.76,0
1,153,153,154,62.26,0.319,100.14,0
1,154,154,155,62.97,0.496,99.98,0
1,155,155,156,63.7,0.52,100.11,0
1,156,156,157,65.78,0.333,98.97,0
1,157,157,158,61.7,0.673,101.2,0
1,158,158,159,65.44,0.446,102.4,0
1,159,159,160,65.09,0.679,99.4,0
1,160,160,161,62.2,0.329,98.66,0
1,161,161,162,66.34,0.548,99.6,0
1,162,162,163,62.5,0.407,105.48,0
1,163,163,164,59.92,0.513,99.31,0
1,164,164,165,66.87,0.321,101.29,0
1,165,165,166,62.29,0.333,105.46,0
1,166,166,167,66.48,0.402,99.82,0
1,167,167,168,61.59,0.403,101.92,0
1,168,168,169,64.85,0.439,99.2,0
1,169,169,170,64.88,0.445,105.23,0
1,170,170,171,68.36,0.434,100.08,0
1,171,171,172,64.88,0.377,100.14,0
1,172,172,173,64.89,0.325,103.52,0
1,173,173,174,64.81,0.48,101.54,0
1,174,174,175,63.69,0.336,101.41,0
1,175,175,176,64.01,0.478,101.99,0
1,176,176,177,62.55,0.458,98.64,0
1,177,177,178,63.89,0.415,96.81,0
1,178,178,179,65.16,0.468,101.6,0
1,179,179,180,64.24,0.405,99.56,0
1,180,180,181,64.51,0.384,102.23,0
1,181,181,182,62.83,0.478,102.36,0
1,182,182,183,64.75,0.397,103.38,0
1,183,183,184,62.0,0.505,102.61,0
1,184,184,185,65.51,0.496,100.37,0
1,185,185,186,64.53,0.526,103.08,0
1,186,186,187,65.37,0.268,103.34,0
1,187,187,188,67.11,0.571,102.58,0
1,188,188,189,62.2,0.563,101.63,0
1,189,189,190,60.44,0.495,98.27,0
1,190,190,191,62.67,0.374,105.18,0
1,191,191,192,64.33,0.483,106.37,0
1,192,192,193,67.87,0.438,101.4,0
1,193,193,194,62.73,0.367,103.06,0
1,194,194,195,65.71,0.463,104.49,0
1,195,195,196,63.61,0.443,103.83,0
1,196,196,197,66.05,0.579,102.99,0
1,197,197,198,64.44,0.493,99.49,0
1,198,198,199,62.05,0.52,101.86,0
1,199,199,200,65.56,0.246,101.09,0
1,200,200,201,63.92,0.346,96.36,0
1,201,201,202,64.4,0.558,102.95,0
1,202,202,203,63.92,0.448,103.89,0
1,203,203,204,60.03,0.435,103.36,0
1,204,204,205,66.23,0.654,104.84,0
1,205,205,206,65.56,0.486,103.97,0
1,206,206,207,64.03,0.445,104.27,0
1,207,207,208,68.52,0.431,101.88,0
1,208,208,209,65.36,0.611,101.92,0
1,209,209,210,67.64,0.334,101.53,0
1,210,210,211,64.64,0.544,104.61,0
1,211,211,212,62.28,0.34,102.84,0
1,212,212,213,63.81,0.267,104.6,0
1,213,213,214,65.89,0.509,100.81,0
1,214,214,215,66.85,0.421,104.74,0
1,215,215,216,63.36,0.348,102.51,0
1,216,216,217,63.74,0.531,102.65,0
1,217,217,218,63.34,0.459,101.12,0
1,218,218,219,66.65,0.374,100.9,0
1,219,219,220,67.18,0.719,107.0,0
1,220,220,221,65.11,0.476,105.83,0
1,221,221,222,64.78,0.333,102.29,0
1,222,222,223,65.81,0.351,97.88,0
1,223,223,224,62.41,0.53,100.1,0
1,224,224,225,64.75,0.476,103.55,0
1,225,225,226,64.4,0.51,99.77,0
1,226,226,227,64.35,0.327,104.83,0
1,227,227,228,64.95,0.361,101.12,0
1,228,228,229,64.6,0.534,98.01,0
1,229,229,230,63.13,0.405,108.33,0
1,230,230,231,66.72,0.437,103.78,0
1,231,231,232,68.7,0.422,101.08,0
1,232,232,233,67.18,0.509,103.68,0
1,233,233,234,64.09,0.681,106.27,0
1,234,234,235,66.02,0.532,96.93,0
1,235,235,236,66.15,0.427,103.08,0
1,236,236,237,66.23,0.409,97.77,0
1,237,237,238,65.66,0.361,101.17,0
1,238,238,239,63.91,0.409,96.23,0
1,239,239,240,67.19,0.48,104.78,0
1,240,240,241,68.56,0.453,97.49,0
1,241,241,242,63.39,0.305,100.75,0
1,242,242,243,65.14,0.21,102.86,0
1,243,243,244,62.28,0.486,101.73,0
1,244,244,245,64.44,0.441,100.65,0
1,245,245,246,63.9,0.248,101.93,0
1,246,246,247,68.32,0.688,105.3,0
1,247,247,248,66.27,0.369,105.61,0
1,248,248,249,64.9,0.442,101.27,0
1,249,249,250,65.17,0.398,101.79,0
1,250,250,251,63.05,0.405,107.7,0
1,251,251,252,64.87,0.421,103.33,0
1,252,252,253,66.27,0.316,101.48,0
1,253,253,254,66.65,0.482,102.3,0
1,254,254,255,67.8,0.369,102.21,0
1,255,255,256,64.06,0.629,97.12,0
1,256,256,257,63.79,0.387,103.66,0
1,257,257,258,66.09,0.617,98.06,0
1,258,258,259,66.35,0.415,100.34,0
1,259,259,260,65.97,0.34,96.81,0
1,260,260,261,64.33,0.27,100.38,0
1,261,261,262,65.67,0.487,105.97,0
1,262,262,263,64.64,0.266,100.11,0
1,263,263,264,63.35,0.304,103.09,0
1,264,264,265,63.84,0.213,103.74,0
1,265,265,266,64.8,0.493,102.26,0
1,266,266,267,66.14,0.455,105.09,0
1,267,267,268,65.76,0.497,103.02,0
1,268,268,269,62.38,0.43,101.35,0
1,269,269,270,65.37,0.287,106.09,0
1,270,270,271,65.19,0.305,97.73,0
1,271,271,272,64.49,0.439,100.2,0
1,272,272,273,65.17,0.373,103.38,0
1,273,273,274,63.7,0.445,104.45,0
1,274,274,275,69.63,0.329,100.84,0
1,275,275,276,63.49,0.544,99.13,0
1,276,276,277,64.13,0.446,99.55,0
1,277,277,278,63.28,0.393,96.75,0
1,278,278,279,62.4,0.4,102.37,0
1,279,279,280,64.67,0.237,100.84,0
1,280,280,281,66.44,0.517,101.8,0
1,281,281,282,63.4,0.526,100.55,0
1,282,282,283,62.9,0.354,105.62,0
1,283,283,284,65.4,0.589,100.8,0
1,284,284,285,66.69,0.378,101.61,0
1,285,285,286,69.48,0.542,100.75,0
1,286,286,287,64.85,0.489,105.03,0
1,287,287,288,64.12,0.241,101.3,0
1,288,288,289,65.03,0.463,105.29,0
1,289,289,290,65.57,0.548,99.25,0
1,290,290,291,66.56,0.702,103.93,0
1,291,291,292,65.46,0.468,106.47,0
1,292,292,293,63.33,0.437,103.15,0
1,293,293,294,66.34,0.398,102.77,0
1,294,294,295,64.5,0.464,101.67,0
1,295,295,296,62.95,0.447,104.19,0
1,296,296,297,63.26,0.421,103.66,0
1,297,297,298,63.07,0.472,99.35,0
1,298,298,299,67.04,0.728,107.06,0
1,299,299,300,64.61,0.539,102.3,0
1,300,300,301,65.18,0.636,98.7,0
1,301,301,302,66.9,0.444,105.52,0
1,302,302,303,65.34,0.369,102.69,0
1,303,303,304,66.32,0.454,103.22,0
1,304,304,305,64.06,0.194,104.25,0
1,305,305,306,66.26,0.468,102.17,0
1,306,306,307,66.87,0.395,100.23,0
1,307,307,308,64.66,0.593,98.53,0
1,308,308,309,67.15,0.373,99.25,0
1,309,309,310,67.27,0.438,98.75,0
1,310,310,311,64.35,0.562,104.98,0
1,311,311,312,64.23,0.499,103.79,0
1,312,312,313,63.84,0.493,101.92,0
1,313,313,314,64.04,0.391,102.17,0
1,314,314,315,65.05,0.382,100.94,0
1,315,315,316,67.0,0.476,104.21,0
1,316,316,317,67.16,0.521,107.68,0
1,317,317,318,63.51,0.547,101.2,0
1,318,318,319,68.34,0.654,97.11,0
1,319,319,320,63.26,0.53,103.97,0
1,320,320,321,66.33,0.441,103.14,0
1,321,321,322,66.18,0.441,104.57,0
1,322,322,323,60.93,0.526,99.41,0
1,323,323,324,66.73,0.423,99.78,0
1,324,324,325,65.67,0.341,99.72,0
1,325,325,326,62.18,0.447,103.24,0
1,326,326,327,66.84,0.433,104.62,0
1,327,327,328,65.03,0.439,103.43,0
1,328,328,329,66.91,0.409,101.39,0
1,329,329,330,64.71,0.46,99.75,0
1,330,330,331,66.85,0.402,103.16,0
1,331,331,332,63.51,0.493,102.98,0
1,332,332,333,64.24,0.693,102.93,0
1,333,333,334,68.2,0.565,100.34,0
1,334,334,335,64.31,0.502,102.15,0
1,335,335,336,65.09,0.416,97.48,0
1,336,336,337,64.59,0.184,102.93,0
1,337,337,338,63.69,0.364,101.45,0
1,338,338,339,65.49,0.278,97.63,0
1,339,339,340,63.08,0.205,99.58,0
1,340,340,341,67.86,0.323,103.63,0
1,341,341,342,62.53,0.486,101.2,0
1,342,342,343,64.89,0.518,106.39,0
1,343,343,344,65.35,0.465,99.57,0
1,344,344,345,66.05,0.42,104.08,0
1,345,345,346,64.92,0.659,97.04,0
1,346,346,347,64.47,0.556,101.12,0
1,347,347,348,63.57,0.418,98.55,0
1,348,348,349,65.21,0.743,104.86,0
1,349,349,350,63.0,0.345,100.99,0
1,350,350,351,66.81,0.351,100.27,0
1,351,351,352,66.59,0.554,101.07,0
1,352,352,353,62.99,0.264,100.25,0
1,353,353,354,60.99,0.54,100.42,0
1,354,354,355,65.87,0.674,104.93,0
1,355,355,356,62.93,0.554,104.89,0
1,356,356,357,63.66,0.336,101.73,0
1,357,357,358,62.12,0.626,95.99,0
1,358,358,359,63.01,0.418,101.43,0
1,359,359,360,65.3,0.483,101.47,0
1,360,360,361,67.05,0.193,102.0,0
1,361,361,362,63.71,0.466,102.55,0
1,362,362,363,63.39,0.377,103.96,0
1,363,363,364,65.71,0.378,107.03,0
1,364,364,365,69.31,0.292,102.64,0
1,365,365,366,69.75,0.572,102.37,0
1,366,366,367,64.95,0.423,101.21,0
1,367,367,368,64.44,0.59,100.67,0
1,368,368,369,64.75,0.369,101.45,0
1,369,369,370,64.06,0.506,104.09,0
1,370,370,371,66.45,0.603,102.27,0
1,371,371,372,66.04,0.543,100.51,0
1,372,372,373,67.44,0.445,104.52,0
1,373,373,374,66.29,0.503,99.82,0
1,374,374,375,65.16,0.63,99.13,0
1,375,375,376,68.6,0.536,95.12,0
1,376,376,377,65.4,0.409,100.57,0
1,377,377,378,68.79,0.748,97.19,0
1,378,378,379,65.69,0.904,101.19,0
1,379,379,380,67.26,0.839,106.38,0
1,380,380,381,69.77,0.751,100.99,0
1,381,381,382,68.75,0.684,97.3,0
1,382,382,383,67.93,0.667,99.64,0
1,383,383,384,68.21,1.086,97.51,0
1,384,384,385,68.03,0.809,100.57,0
1,385,385,386,70.35,0.795,97.25,0
1,386,386,387,65.73,0.769,100.48,0
1,387,387,388,68.99,0.784,98.03,0
1,388,388,389,69.19,0.993,97.3,0
1,389,389,390,68.91,0.741,95.73,0
1,390,390,391,72.51,0.724,97.58,0
1,391,391,392,70.24,0.97,96.21,0
1,392,392,393,69.98,1.043,97.84,0
1,393,393,394,66.95,1.055,95.71,0
1,394,394,395,69.6,1.129,99.26,0
1,395,395,396,72.46,1.072,99.77,0
1,396,396,397,73.21,1.298,100.73,0
1,397,397,398,71.1,1.172,99.11,0
1,398,398,399,69.17,1.249,95.52,0
1,399,399,400,71.24,1.046,94.41,0
1,400,400,401,72.14,1.394,98.89,0
1,401,401,402,72.31,1.297,94.13,0
1,402,402,403,73.46,1.323,97.5,0
1,403,403,404,76.17,1.382,92.02,0
1,404,404,405,71.76,1.244,92.55,0
1,405,405,406,75.95,1.48,91.51,0
1,406,406,407,75.07,1.639,94.18,0
1,407,407,408,72.98,1.482,95.56,0
1,408,408,409,75.65,1.699,97.65,0
1,409,409,410,76.93,1.757,96.03,0
1,410,410,411,72.35,1.613,94.92,0
1,411,411,412,74.73,1.775,93.0,0
1,412,412,413,74.06,1.875,95.32,0
1,413,413,414,76.44,1.85,96.06,0
1,414,414,415,76.98,1.481,91.47,0
1,415,415,416,75.87,1.696,93.4,0
1,416,416,417,79.16,1.794,89.82,0
1,417,417,418,81.0,1.836,89.31,0
1,418,418,419,78.11,1.98,90.38,0
1,419,419,420,79.44,1.91,89.57,0
1,420,420,421,78.67,2.1,90.03,0
1,421,421,422,79.29,2.036,98.41,0
1,422,422,423,77.76,2.254,90.95,0
1,423,423,424,79.16,2.215,93.05,0
1,424,424,425,82.01,2.208,89.04,0
1,425,425,426,79.12,2.271,91.72,0
1,426,426,427,82.96,2.302,92.64,0
1,427,427,428,83.53,2.313,86.0,0
1,428,428,429,79.04,2.163,93.41,0
1,429,429,430,80.0,2.525,90.61,0
1,430,430,431,84.97,2.54,88.61,0
1,431,431,432,81.9,2.473,89.02,0
1,432,432,433,81.67,2.502,92.31,0
1,433,433,434,79.94,2.581,85.73,1
1,434,434,1,65.34,0.551,101.86,0
1,435,435,2,66.39,0.259,104.77,0
1,436,436,3,63.91,0.525,102.46,0
1,437,437,4,60.35,0.359,102.55,0
1,438,438,5,67.8,0.484,102.64,0
1,439,439,6,62.46,0.622,106.52,0
1,440,440,7,65.05,0.424,97.95,0
1,441,441,8,66.59,0.774,103.79,0
1,442,442,9,67.27,0.515,99.54,0
1,443,443,10,67.41,0.302,101.47,0
1,444,444,11,65.5,0.556,103.04,0
1,445,445,12,65.7,0.359,98.78,0
1,446,446,13,65.11,0.365,98.73,0
1,447,447,14,62.72,0.391,97.37,0
1,448,448,15,62.57,0.254,102.46,0
1,449,449,16,65.73,0.691,98.26,0
1,450,450,17,63.78,0.56,101.46,0
1,451,451,18,64.41,0.655,101.15,0
1,452,452,19,62.92,0.292,102.84,0
1,453,453,20,65.55,0.285,99.54,0
1,454,454,21,65.96,0.519,100.39,0
1,455,455,22,66.12,0.519,97.54,0
1,456,456,23,64.44,0.5,100.57,0
1,457,457,24,61.15,0.416,103.88,0
1,458,458,25,67.84,0.187,108.53,0
1,459,459,26,62.97,0.565,105.09,0
1,460,460,27,66.77,0.468,99.1,0
1,461,461,28,66.13,0.364,95.69,0
1,462,462,29,70.09,0.535,106.55,0
1,463,463,30,63.36,0.626,105.97,0
1,464,464,31,67.8,0.447,98.99,0
1,465,465,32,64.68,0.186,97.74,0
1,466,466,33,65.17,0.331,101.59,0
1,467,467,34,64.8,0.682,105.24,0
1,468,468,35,64.92,0.595,100.05,0
1,469,469,36,64.39,0.559,98.9,0
1,470,470,37,64.5,0.291,102.29,0
1,471,471,38,67.94,0.36,102.56,0
1,472,472,39,63.38,0.312,98.91,0
1,473,473,40,67.62,0.733,103.21,0
1,474,474,41,63.71,0.535,101.16,0
1,475,475,42,66.44,0.485,102.7,0
1,476,476,43,66.09,0.38,100.99,0
1,477,477,44,61.9,0.397,98.44,0
1,478,478,45,64.74,0.335,102.25,0
1,479,479,46,65.82,0.28,99.97,0
1,480,480,47,63.3,0.54,106.27,0
1,481,481,48,66.53,0.408,105.66,0
1,482,482,49,62.27,0.63,100.36,0
1,483,483,50,60.0,0.768,105.95,0
1,484,484,51,63.14,0.47,101.46,0
1,485,485,52,65.18,0.272,100.3,0
1,486,486,53,65.84,0.477,105.0,0
1,487,487,54,65.14,0.732,100.21,0
1,488,488,55,65.47,0.22,98.87,0
1,489,489,56,67.39,0.337,103.33,0
1,490,490,57,64.89,0.325,101.13,0
1,491,491,58,64.07,0.392,103.88,0
1,492,492,59,66.17,0.381,99.73,0
1,493,493,60,65.51,0.438,104.57,0
1,494,494,61,69.78,0.551,101.91,0
1,495,495,62,64.69,0.347,99.73,0
1,496,496,63,63.19,0.403,100.93,0
1,497,497,64,66.34,0.402,101.51,0
1,498,498,65,62.81,0.647,103.27,0
1,499,499,66,68.22,0.546,105.72,0
1,500,500,67,64.55,0.536,108.76,0
1,501,501,68,62.8,0.591,106.24,0
1,502,502,69,65.76,0.542,105.2,0
1,503,503,70,63.79,0.5,99.78,0
1,504,504,71,63.76,0.374,101.63,0
1,505,505,72,65.27,0.506,98.37,0
1,506,506,73,68.65,0.592,103.86,0
1,507,507,74,64.34,0.439,103.4,0
1,508,508,75,65.76,0.243,103.9,0
1,509,509,76,70.38,0.223,104.55,0
1,510,510,77,65.68,0.436,105.52,0
1,511,511,78,62.82,0.47,105.75,0
1,512,512,79,64.64,0.398,102.29,0
1,513,513,80,64.18,0.641,99.67,0
1,514,514,81,66.61,0.296,103.72,0
1,515,515,82,64.81,0.131,101.98,0
1,516,516,83,63.03,0.395,105.95,0
1,517,517,84,62.93,0.319,105.7,0
1,518,518,85,65.21,0.64,102.83,0
1,519,519,86,63.37,0.442,105.16,0
1,520,520,87,66.74,0.45,102.13,0
1,521,521,88,64.79,0.379,106.96,0
1,522,522,89,65.01,0.31,100.77,0
1,523,523,90,66.34,0.529,101.65,0
1,524,524,91,63.76,0.453,97.7,0
1,525,525,92,62.59,0.549,100.77,0
1,526,526,93,65.69,0.6,103.67,0
1,527,527,94,65.04,0.713,103.72,0
1,528,528,95,64.34,0.54,103.05,0
1,529,529,96,63.42,0.459,101.58,0
1,530,530,97,61.36,0.429,101.27,0
1,531,531,98,64.19,0.247,101.09,0
1,532,532,99,64.93,0.463,99.08,0
1,533,533,100,66.17,0.3,101.42,0
1,534,534,101,67.41,0.365,100.69,0
1,535,535,102,66.99,0.403,101.24,0
1,536,536,103,65.41,0.579,96.34,0
1,537,537,104,63.47,0.326,99.21,0
1,538,538,105,63.42,0.347,102.77,0
1,539,539,106,63.36,0.465,103.03,0
1,540,540,107,63.65,0.466,106.19,0
1,541,541,108,65.59,0.372,101.83,0
1,542,542,109,63.31,0.483,104.21,0
1,543,543,110,63.49,0.424,104.84,0
1,544,544,111,64.08,0.473,99.38,0
1,545,545,112,63.49,0.387,107.44,0
1,546,546,113,64.26,0.386,100.59,0
1,547,547,114,64.7,0.529,102.47,0
1,548,548,115,68.7,0.476,105.62,0
1,549,549,116,65.5,0.523,98.39,0
1,550,550,117,64.77,0.442,101.39,0
1,551,551,118,61.12,0.556,101.03,0
1,552,552,119,64.21,0.419,101.43,0
1,553,553,120,65.73,0.297,99.67,0
1,554,554,121,65.52,0.467,101.06,0
1,555,555,122,63.97,0.35,101.85,0
1,556,556,123,67.13,0.323,105.81,0
1,557,557,124,66.52,0.396,103.96,0
1,558,558,125,62.36,0.242,98.78,0
1,559,559,126,64.26,0.411,100.71,0
1,560,560,127,65.18,0.194,103.24,0
1,561,561,128,62.45,0.371,100.97,0
1,562,562,129,62.92,0.285,99.48,0
1,563,563,130,64.98,0.521,103.41,0
1,564,564,131,63.21,0.355,99.7,0
1,565,565,132,65.81,0.206,105.1,0
1,566,566,133,64.13,0.356,102.85,0
1,567,567,134,66.86,0.491,104.63,0
1,568,568,135,65.24,0.598,105.11,0
1,569,569,136,64.82,0.623,102.41,0
1,570,570,137,65.16,0.339,101.28,0
1,571,571,138,66.4,0.292,103.62,0
1,572,572,139,65.63,0.483,96.48,0
1,573,573,140,64.81,0.528,100.09,0
1,574,574,141,65.16,0.165,103.68,0
1,575,575,142,63.81,0.555,97.39,0
1,576,576,143,66.25,0.422,104.02,0
1,577,577,144,63.33,0.376,107.61,0
1,578,578,145,63.51,0.365,101.31,0
1,579,579,146,63.16,0.593,106.31,0
1,580,580,147,63.73,0.243,104.93,0
1,581,581,148,67.0,0.549,104.89,0
1,582,582,149,63.44,0.43,98.54,0
1,583,583,150,62.45,0.568,100.32,0
1,584,584,151,69.1,0.459,100.4,0
1,585,585,152,66.44,0.666,103.22,0
1,586,586,153,62.81,0.495,105.44,0
1,587,587,154,64.11,0.357,104.54,0
1,588,588,155,65.25,0.318,101.05,0
1,589,589,156,63.64,0.486,102.27,0
1,590,590,157,67.07,0.535,98.09,0
1,591,591,158,65.73,0.558,103.14,0
1,592,592,159,66.85,0.384,99.62,0
1,593,593,160,66.67,0.322,96.6,0
1,594,594,161,66.85,0.363,101.23,0
1,595,595,162,62.48,0.291,99.11,0
1,596,596,163,64.35,0.494,96.26,0
1,597,597,164,66.35,0.308,99.33,0
1,598,598,165,66.22,0.441,98.16,0
1,599,599,166,68.32,0.347,102.62,0
1,600,600,167,65.36,0.619,100.86,0
1,601,601,168,66.81,0.361,104.81,0
1,602,602,169,63.63,0.407,106.74,0
1,603,603,170,65.57,0.463,107.61,0
1,604,604,171,65.65,0.352,103.84,0
1,605,605,172,62.87,0.585,105.01,0
1,606,606,173,63.97,0.375,102.44,0
1,607,607,174,65.03,0.333,103.42,0
1,608,608,175,61.32,0.398,100.99,0
1,609,609,176,64.51,0.487,98.93,0
1,610,610,177,66.06,0.428,100.37,0
1,611,611,178,62.54,0.308,102.9,0
1,612,612,179,63.27,0.458,104.65,0
1,613,613,180,66.86,0.637,101.26,0
1,614,614,181,63.05,0.572,102.77,0
1,615,615,182,67.02,0.451,104.99,0
1,616,616,183,66.52,0.536,103.26,0
1,617,617,184,65.72,0.478,102.56,0
1,618,618,185,66.78,0.389,106.34,0
1,619,619,186,64.81,0.568,101.77,0
1,620,620,187,64.56,0.694,101.23,0
1,621,621,188,62.7,0.364,101.21,0
1,622,622,189,68.88,0.475,104.34,0
1,623,623,190,63.2,0.492,103.68,0
1,624,624,191,68.24,0.366,103.51,0
1,625,625,192,65.54,0.327,101.95,0
1,626,626,193,64.53,0.171,103.5,0
1,627,627,194,65.97,0.397,98.65,0
1,628,628,195,67.66,0.482,104.54,0
1,629,629,196,67.54,0.387,104.03,0
1,630,630,197,64.57,0.442,101.79,0
