machine_id,hour,label,time_to_failure_h,failure_event,temperature_c,vibration_mm_s,pressure_kpa,hours_since_maintenance,risk_score
1,100,0,333.0,0,65.91,0.458,101.13,101,0.0001
1,101,0,332.0,0,63.0,0.442,104.18,102,0.0001
1,102,0,331.0,0,64.29,0.423,101.45,103,0.0001
1,103,0,330.0,0,65.2,0.259,101.41,104,0.0001
1,104,0,329.0,0,63.46,0.556,100.07,105,0.0001
1,105,0,328.0,0,66.04,0.633,101.22,106,0.0001
1,106,0,327.0,0,63.92,0.473,101.99,107,0.0001
1,107,0,326.0,0,63.21,0.505,107.04,108,0.0001
1,108,0,325.0,0,64.54,0.426,99.39,109,0.0001
1,109,0,324.0,0,65.57,0.3,99.23,110,0.0001
1,110,0,323.0,0,67.3,0.341,104.7,111,0.0001
1,111,0,322.0,0,67.74,0.481,103.38,112,0.0001
1,112,0,321.0,0,68.51,0.426,100.52,113,0.0001
1,113,0,320.0,0,62.56,0.455,105.7,114,0.0001
1,114,0,319.0,0,66.73,0.337,99.86,115,0.0001
1,115,0,318.0,0,64.09,0.485,101.49,116,0.0001
1,116,0,317.0,0,65.39,0.486,101.25,117,0.0001
1,117,0,316.0,0,64.93,0.475,101.79,118,0.0001
1,118,0,315.0,0,65.91,0.675,103.48,119,0.0001
1,119,0,314.0,0,65.1,0.248,102.97,120,0.0001
1,120,0,313.0,0,61.5,0.281,104.14,121,0.0001
1,121,0,312.0,0,66.27,0.432,97.72,122,0.0001
1,122,0,311.0,0,64.33,0.369,103.59,123,0.0001
1,123,0,310.0,0,69.06,0.476,100.05,124,0.0001
1,124,0,309.0,0,62.89,0.443,101.56,125,0.0001
1,125,0,308.0,0,62.93,0.464,99.12,126,0.0001
1,126,0,307.0,0,67.0,0.578,104.71,127,0.0001
1,127,0,306.0,0,64.15,0.512,101.67,128,0.0001
1,128,0,305.0,0,64.3,0.409,98.75,129,0.0001
1,129,0,304.0,0,62.4,0.545,101.52,130,0.0001
1,130,0,303.0,0,65.39,0.57,97.67,131,0.0001
1,131,0,302.0,0,63.59,0.471,102.98,132,0.0001
1,132,0,301.0,0,64.32,0.574,102.53,133,0.0001
1,133,0,300.0,0,62.82,0.338,104.01,134,0.0001
1,134,0,299.0,0,65.83,0.222,105.37,135,0.0001
1,135,0,298.0,0,66.08,0.611,101.04,136,0.0001
1,136,0,297.0,0,64.47,0.315,108.34,137,0.0001
1,137,0,296.0,0,64.68,0.641,100.38,138,0.0001
1,138,0,295.0,0,65.29,0.249,101.04,139,0.0001
1,139,0,294.0,0,66.77,0.3,104.68,140,0.0001
1,140,0,293.0,0,65.61,0.325,100.75,141,0.0001
1,141,0,292.0,0,64.17,0.444,100.66,142,0.0001
1,142,0,291.0,0,63.51,0.413,99.43,143,0.0001
1,143,0,290.0,0,62.68,0.444,104.21,144,0.0001
1,144,0,289.0,0,62.25,0.45,100.38,145,0.0001
1,145,0,288.0,0,63.24,0.552,100.7,146,0.0001
1,146,0,287.0,0,67.7,0.356,102.97,147,0.0001
1,147,0,286.0,0,64.59,0.36,103.47,148,0.0001
1,148,0,285.0,0,64.72,0.522,101.88,149,0.0001
1,149,0,284.0,0,63.05,0.438,102.13,150,0.0001
1,150,0,283.0,0,66.73,0.341,101.9,151,0.0001
1,151,0,282.0,0,61.9,0.528,99.3,152,0.0001
1,152,0,281.0,0,61.75,0.443,104.76,153,0.0001
1,153,0,280.0,0,62.26,0.319,100.14,154,0.0001
1,154,0,279.0,0,62.97,0.496,99.98,155,0.0001
1,155,0,278.0,0,63.7,0.52,100.11,156,0.0001
1,156,0,277.0,0,65.78,0.333,98.97,157,0.0001
1,157,0,276.0,0,61.7,0.673,101.2,158,0.0001
1,158,0,275.0,0,65.44,0.446,102.4,159,0.0001
1,159,0,274.0,0,65.09,0.679,99.4,160,0.0001
1,160,0,273.0,0,62.2,0.329,98.66,161,0.0001
1,161,0,272.0,0,66.34,0.548,99.6,162,0.0001
1,162,0,271.0,0,62.5,0.407,105.48,163,0.0001
1,163,0,270.0,0,59.92,0.513,99.31,164,0.0001
1,164,0,269.0,0,66.87,0.321,101.29,165,0.0001
1,165,0,268.0,0,62.29,0.333,105.46,166,0.0001
1,166,0,267.0,0,66.48,0.402,99.82,167,0.0001
1,167,0,266.0,0,61.59,0.403,101.92,168,0.0001
1,168,0,265.0,0,64.85,0.439,99.2,169,0.0001
1,169,0,264.0,0,64.88,0.445,105.23,170,0.0001
1,170,0,263.0,0,68.36,0.434,100.08,171,0.0001
1,171,0,262.0,0,64.88,0.377,100.14,172,0.0001
1,172,0,261.0,0,64.89,0.325,103.52,173,0.0001
1,173,0,260.0,0,64.81,0.48,101.54,174,0.0001
1,174,0,259.0,0,63.69,0.336,101.41,175,0.0001
1,175,0,258.0,0,64.01,0.478,101.99,176,0.0001
1,176,0,257.0,0,62.55,0.458,98.64,177,0.0001
1,177,0,256.0,0,63.89,0.415,96.81,178,0.0001
1,178,0,255.0,0,65.16,0.468,101.6,179,0.0001
1,179,0,254.0,0,64.24,0.405,99.56,180,0.0001
1,180,0,253.0,0,64.51,0.384,102.23,181,0.0001
1,181,0,252.0,0,62.83,0.478,102.36,182,0.0001
1,182,0,251.0,0,64.75,0.397,103.38,183,0.0001
1,183,0,250.0,0,62.0,0.505,102.61,184,0.0001
1,184,0,249.0,0,65.51,0.496,100.37,185,0.0001
1,185,0,248.0,0,64.53,0.526,103.08,186,0.0001
1,186,0,247.0,0,65.37,0.268,103.34,187,0.0001
1,187,0,246.0,0,67.11,0.571,102.58,188,0.0001
1,188,0,245.0,0,62.2,0.563,101.63,189,0.0001
1,189,0,244.0,0,60.44,0.495,98.27,190,0.0001
1,190,0,243.0,0,62.67,0.374,105.18,191,0.0001
1,191,0,242.0,0,64.33,0.483,106.37,192,0.0001
1,192,0,241.0,0,67.87,0.438,101.4,193,0.0001
1,193,0,240.0,0,62.73,0.367,103.06,194,0.0001
1,194,0,239.0,0,65.71,0.463,104.49,195,0.0001
1,195,0,238.0,0,63.61,0.443,103.83,196,0.0001
1,196,0,237.0,0,66.05,0.579,102.99,197,0.0001
1,197,0,236.0,0,64.44,0.493,99.49,198,0.0001
1,198,0,235.0,0,62.05,0.52,101.86,199,0.0001
1,199,0,234.0,0,65.56,0.246,101.09,200,0.0001
1,200,0,233.0,0,63.92,0.346,96.36,201,0.0001
1,201,0,232.0,0,64.4,0.558,102.95,202,0.0001
1,202,0,231.0,0,63.92,0.448,103.89,203,0.0001
1,203,0,230.0,0,60.03,0.435,103.36,204,0.0001
1,204,0,229.0,0,66.23,0.654,104.84,205,0.0001
1,205,0,228.0,0,65.56,0.486,103.97,206,0.0001
1,206,0,227.0,0,64.03,0.445,104.27,207,0.0001
1,207,0,226.0,0,68.52,0.431,101.88,208,0.0001
1,208,0,225.0,0,65.36,0.611,101.92,209,0.0001
1,209,0,224.0,0,67.64,0.334,101.53,210,0.0001
1,210,0,223.0,0,64.64,0.544,104.61,211,0.0001
1,211,0,222.0,0,62.28,0.34,102.84,212,0.0001
1,212,0,221.0,0,63.81,0.267,104.6,213,0.0001
1,213,0,220.0,0,65.89,0.509,100.81,214,0.0001
1,214,0,219.0,0,66.85,0.421,104.74,215,0.0001
1,215,0,218.0,0,63.36,0.348,102.51,216,0.0001
1,216,0,217.0,0,63.74,0.531,102.65,217,0.0001
1,217,0,216.0,0,63.34,0.459,101.12,218,0.0001
1,218,0,215.0,0,66.65,0.374,100.9,219,0.0001
1,219,0,214.0,0,67.18,0.719,107.0,220,0.0001
1,220,0,213.0,0,65.11,0.476,105.83,221,0.0001
1,221,0,212.0,0,64.78,0.333,102.29,222,0.0001
1,222,0,211.0,0,65.81,0.351,97.88,223,0.0001
1,223,0,210.0,0,62.41,0.53,100.1,224,0.0001
1,224,0,209.0,0,64.75,0.476,103.55,225,0.0001
1,225,0,208.0,0,64.4,0.51,99.77,226,0.0001
1,226,0,207.0,0,64.35,0.327,104.83,227,0.0001
1,227,0,206.0,0,64.95,0.361,101.12,228,0.0001
1,228,0,205.0,0,64.6,0.534,98.01,229,0.0001
1,229,0,204.0,0,63.13,0.405,108.33,230,0.0001
1,230,0,203.0,0,66.72,0.437,103.78,231,0.0001
1,231,0,202.0,0,68.7,0.422,101.08,232,0.0001
1,232,0,201.0,0,67.18,0.509,103.68,233,0.0001
1,233,0,200.0,0,64.09,0.681,106.27,234,0.0001
1,234,0,199.0,0,66.02,0.532,96.93,235,0.0001
1,235,0,198.0,0,66.15,0.427,103.08,236,0.0001
1,236,0,197.0,0,66.23,0.409,97.77,237,0.0001
1,237,0,196.0,0,65.66,0.361,101.17,238,0.0001
1,238,0,195.0,0,63.91,0.409,96.23,239,0.0001
1,239,0,194.0,0,67.19,0.48,104.78,240,0.0001
1,240,0,193.0,0,68.56,0.453,97.49,241,0.0001
1,241,0,192.0,0,63.39,0.305,100.75,242,0.0001
1,242,0,191.0,0,65.14,0.21,102.86,243,0.0001
1,243,0,190.0,0,62.28,0.486,101.73,244,0.0001
1,244,0,189.0,0,64.44,0.441,100.65,245,0.0001
1,245,0,188.0,0,63.9,0.248,101.93,246,0.0001
1,246,0,187.0,0,68.32,0.688,105.3,247,0.0001
1,247,0,186.0,0,66.27,0.369,105.61,248,0.0001
1,248,0,185.0,0,64.9,0.442,101.27,249,0.0001
1,249,0,184.0,0,65.17,0.398,101.79,250,0.0001
1,250,0,183.0,0,63.05,0.405,107.7,251,0.0001
1,251,0,182.0,0,64.87,0.421,103.33,252,0.0001
1,252,0,181.0,0,66.27,0.316,101.48,253,0.0001
1,253,0,180.0,0,66.65,0.482,102.3,254,0.0001
1,254,0,179.0,0,67.8,0.369,102.21,255,0.0001
1,255,0,178.0,0,64.06,0.629,97.12,256,0.0001
1,256,0,177.0,0,63.79,0.387,103.66,257,0.0001
1,257,0,176.0,0,66.09,0.617,98.06,258,0.0001
1,258,0,175.0,0,66.35,0.415,100.34,259,0.0001
1,259,0,174.0,0,65.97,0.34,96.81,260,0.0001
1,260,0,173.0,0,64.33,0.27,100.38,261,0.0001
1,261,0,172.0,0,65.67,0.487,105.97,262,0.0001
1,262,0,171.0,0,64.64,0.266,100.11,263,0.0001
1,263,0,170.0,0,63.35,0.304,103.09,264,0.0001
1,264,0,169.0,0,63.84,0.213,103.74,265,0.0001
1,265,0,168.0,0,64.8,0.493,102.26,266,0.0001
1,266,0,167.0,0,66.14,0.455,105.09,267,0.0001
1,267,0,166.0,0,65.76,0.497,103.02,268,0.0001
1,268,0,165.0,0,62.38,0.43,101.35,269,0.0001
1,269,0,164.0,0,65.37,0.287,106.09,270,0.0001
1,270,0,163.0,0,65.19,0.305,97.73,271,0.0001
1,271,0,162.0,0,64.49,0.439,100.2,272,0.0001
1,272,0,161.0,0,65.17,0.373,103.38,273,0.0001
1,273,0,160.0,0,63.7,0.445,104.45,274,0.0001
1,274,0,159.0,0,69.63,0.329,100.84,275,0.0001
1,275,0,158.0,0,63.49,0.544,99.13,276,0.0001
1,276,0,157.0,0,64.13,0.446,99.55,277,0.0001
1,277,0,156.0,0,63.28,0.393,96.75,278,0.0001
1,278,0,155.0,0,62.4,0.4,102.37,279,0.0001
1,279,0,154.0,0,64.67,0.237,100.84,280,0.0001
1,280,0,153.0,0,66.44,0.517,101.8,281,0.0001
1,281,0,152.0,0,63.4,0.526,100.55,282,0.0001
1,282,0,151.0,0,62.9,0.354,105.62,283,0.0001
1,283,0,150.0,0,65.4,0.589,100.8,284,0.0001
1,284,0,149.0,0,66.69,0.378,101.61,285,0.0001
1,285,0,148.0,0,69.48,0.542,100.75,286,0.0001
1,286,0,147.0,0,64.85,0.489,105.03,287,0.0001
1,287,0,146.0,0,64.12,0.241,101.3,288,0.0001
1,288,0,145.0,0,65.03,0.463,105.29,289,0.0001
1,289,0,144.0,0,65.57,0.548,99.25,290,0.0001
1,290,0,143.0,0,66.56,0.702,103.93,291,0.0001
1,291,0,142.0,0,65.46,0.468,106.47,292,0.0001
1,292,0,141.0,0,63.33,0.437,103.15,293,0.0001
1,293,0,140.0,0,66.34,0.398,102.77,294,0.0001
1,294,0,139.0,0,64.5,0.464,101.67,295,0.0001
1,295,0,138.0,0,62.95,0.447,104.19,296,0.0001
1,296,0,137.0,0,63.26,0.421,103.66,297,0.0001
1,297,0,136.0,0,63.07,0.472,99.35,298,0.0001
1,298,0,135.0,0,67.04,0.728,107.06,299,0.0001
1,299,0,134.0,0,64.61,0.539,102.3,300,0.0001
1,300,0,133.0,0,65.18,0.636,98.7,301,0.0001
1,301,0,132.0,0,66.9,0.444,105.52,302,0.0001
1,302,0,131.0,0,65.34,0.369,102.69,303,0.0001
1,303,0,130.0,0,66.32,0.454,103.22,304,0.0001
1,304,0,129.0,0,64.06,0.194,104.25,305,0.0001
1,305,0,128.0,0,66.26,0.468,102.17,306,0.0001
1,306,0,127.0,0,66.87,0.395,100.23,307,0.0001
1,307,0,126.0,0,64.66,0.593,98.53,308,0.0001
1,308,0,125.0,0,67.15,0.373,99.25,309,0.0001
1,309,0,124.0,0,67.27,0.438,98.75,310,0.0001
1,310,0,123.0,0,64.35,0.562,104.98,311,0.0001
1,311,0,122.0,0,64.23,0.499,103.79,312,0.0001
1,312,0,121.0,0,63.84,0.493,101.92,313,0.0001
1,313,0,120.0,0,64.04,0.391,102.17,314,0.0001
1,314,0,119.0,0,65.05,0.382,100.94,315,0.0001
1,315,0,118.0,0,67.0,0.476,104.21,316,0.0001
1,316,0,117.0,0,67.16,0.521,107.68,317,0.0001
1,317,0,116.0,0,63.51,0.547,101.2,318,0.0001
1,318,0,115.0,0,68.34,0.654,97.11,319,0.0001
1,319,0,114.0,0,63.26,0.53,103.97,320,0.0001
1,320,0,113.0,0,66.33,0.441,103.14,321,0.0001
1,321,0,112.0,0,66.18,0.441,104.57,322,0.0001
1,322,0,111.0,0,60.93,0.526,99.41,323,0.0001
1,323,0,110.0,0,66.73,0.423,99.78,324,0.0001
1,324,0,109.0,0,65.67,0.341,99.72,325,0.0001
1,325,0,108.0,0,62.18,0.447,103.24,326,0.0001
1,326,0,107.0,0,66.84,0.433,104.62,327,0.0001
1,327,0,106.0,0,65.03,0.439,103.43,328,0.0001
1,328,0,105.0,0,66.91,0.409,101.39,329,0.0001
1,329,0,104.0,0,64.71,0.46,99.75,330,0.0001
1,330,0,103.0,0,66.85,0.402,103.16,331,0.0001
1,331,0,102.0,0,63.51,0.493,102.98,332,0.0001
1,332,0,101.0,0,64.24,0.693,102.93,333,0.0001
1,333,0,100.0,0,68.2,0.565,100.34,334,0.0001
1,334,0,99.0,0,64.31,0.502,102.15,335,0.0001
1,335,0,98.0,0,65.09,0.416,97.48,336,0.0001
1,336,0,97.0,0,64.59,0.184,102.93,337,0.0001
1,337,0,96.0,0,63.69,0.364,101.45,338,0.0001
1,338,0,95.0,0,65.49,0.278,97.63,339,0.0001
1,339,0,94.0,0,63.08,0.205,99.58,340,0.0001
1,340,0,93.0,0,67.86,0.323,103.63,341,0.0001
1,341,0,92.0,0,62.53,0.486,101.2,342,0.0001
1,342,0,91.0,0,64.89,0.518,106.39,343,0.0001
1,343,0,90.0,0,65.35,0.465,99.57,344,0.0001
1,344,0,89.0,0,66.05,0.42,104.08,345,0.0001
1,345,0,88.0,0,64.92,0.659,97.04,346,0.0001
1,346,0,87.0,0,64.47,0.556,101.12,347,0.0001
1,347,0,86.0,0,63.57,0.418,98.55,348,0.0001
1,348,0,85.0,0,65.21,0.743,104.86,349,0.0001
1,349,0,84.0,0,63.0,0.345,100.99,350,0.0001
1,350,0,83.0,0,66.81,0.351,100.27,351,0.0001
1,351,0,82.0,0,66.59,0.554,101.07,352,0.0001
1,352,0,81.0,0,62.99,0.264,100.25,353,0.0001
1,353,0,80.0,0,60.99,0.54,100.42,354,0.0001
1,354,0,79.0,0,65.87,0.674,104.93,355,0.0001
1,355,0,78.0,0,62.93,0.554,104.89,356,0.0001
1,356,0,77.0,0,63.66,0.336,101.73,357,0.0001
1,357,0,76.0,0,62.12,0.626,95.99,358,0.0001
1,358,0,75.0,0,63.01,0.418,101.43,359,0.0001
1,359,0,74.0,0,65.3,0.483,101.47,360,0.0001
1,360,0,73.0,0,67.05,0.193,102.0,361,0.0001
1,361,0,72.0,0,63.71,0.466,102.55,362,0.0001
1,362,0,71.0,0,63.39,0.377,103.96,363,0.0001
1,363,0,70.0,0,65.71,0.378,107.03,364,0.0001
1,364,0,69.0,0,69.31,0.292,102.64,365,0.0001
1,365,0,68.0,0,69.75,0.572,102.37,366,0.0001
1,366,0,67.0,0,64.95,0.423,101.21,367,0.0001
1,367,0,66.0,0,64.44,0.59,100.67,368,0.0001
1,368,0,65.0,0,64.75,0.369,101.45,369,0.0001
1,369,0,64.0,0,64.06,0.506,104.09,370,0.0001
1,370,0,63.0,0,66.45,0.603,102.27,371,0.0001
1,371,0,62.0,0,66.04,0.543,100.51,372,0.0001
1,372,0,61.0,0,67.44,0.445,104.52,373,0.0001
1,373,0,60.0,0,66.29,0.503,99.82,374,0.0001
1,374,0,59.0,0,65.16,0.63,99.13,375,0.0001
1,375,0,58.0,0,68.6,0.536,95.12,376,0.0001
1,376,0,57.0,0,65.4,0.409,100.57,377,0.0001
1,377,0,56.0,0,68.79,0.748,97.19,378,0.0001
1,378,0,55.0,0,65.69,0.904,101.19,379,0.0001
1,379,0,54.0,0,67.26,0.839,106.38,380,0.0001
1,380,0,53.0,0,69.77,0.751,100.99,381,0.0001
1,381,0,52.0,0,68.75,0.684,97.3,382,0.0001
1,382,0,51.0,0,67.93,0.667,99.64,383,0.0001
1,383,0,50.0,0,68.21,1.086,97.51,384,0.0001
1,384,0,49.0,0,68.03,0.809,100.57,385,0.0001
1,385,0,48.0,0,70.35,0.795,97.25,386,0.0001
1,386,0,47.0,0,65.73,0.769,100.48,387,0.0001
1,387,0,46.0,0,68.99,0.784,98.03,388,0.0001
1,388,0,45.0,0,69.19,0.993,97.3,389,0.0001
1,389,0,44.0,0,68.91,0.741,95.73,390,0.0001
1,390,0,43.0,0,72.51,0.724,97.58,391,0.0001
1,391,0,42.0,0,70.24,0.97,96.21,392,0.0001
1,392,0,41.0,0,69.98,1.043,97.84,393,0.0001
1,393,0,40.0,0,66.95,1.055,95.71,394,0.0001
1,394,0,39.0,0,69.6,1.129,99.26,395,0.0001
1,395,0,38.0,0,72.46,1.072,99.77,396,0.0001
1,396,0,37.0,0,73.21,1.298,100.73,397,0.0001
1,397,0,36.0,0,71.1,1.172,99.11,398,0.0001
1,398,0,35.0,0,69.17,1.249,95.52,399,0.0001
1,399,0,34.0,0,71.24,1.046,94.41,400,0.0001
1,400,0,33.0,0,72.14,1.394,98.89,401,0.0001
1,401,0,32.0,0,72.31,1.297,94.13,402,0.0001
1,402,0,31.0,0,73.46,1.323,97.5,403,0.0001
1,403,0,30.0,0,76.17,1.382,92.02,404,0.0003
1,404,0,29.0,0,71.76,1.244,92.55,405,0.0004
1,405,0,28.0,0,75.95,1.48,91.51,406,0.0012
1,406,0,27.0,0,75.07,1.639,94.18,407,0.0058
1,407,0,26.0,0,72.98,1.482,95.56,408,0.002
1,408,0,25.0,0,75.65,1.699,97.65,409,0.0068
1,409,1,24.0,0,76.93,1.757,96.03,410,0.9661
1,410,1,23.0,0,72.35,1.613,94.92,411,0.9978
1,411,1,22.0,0,74.73,1.775,93.0,412,0.9987
1,412,1,21.0,0,74.06,1.875,95.32,413,0.9989
1,413,1,20.0,0,76.44,1.85,96.06,414,0.9989
1,414,1,19.0,0,76.98,1.481,91.47,415,0.9988
1,415,1,18.0,0,75.87,1.696,93.4,416,0.9987
1,416,1,17.0,0,79.16,1.794,89.82,417,0.9986
1,417,1,16.0,0,81.0,1.836,89.31,418,0.9988
1,418,1,15.0,0,78.11,1.98,90.38,419,0.9989
1,419,1,14.0,0,79.44,1.91,89.57,420,0.9989
1,420,1,13.0,0,78.67,2.1,90.03,421,0.9989
1,421,1,12.0,0,79.29,2.036,98.41,422,0.9987
1,422,1,11.0,0,77.76,2.254,90.95,423,0.999
1,423,1,10.0,0,79.16,2.215,93.05,424,0.9985
1,424,1,9.0,0,82.01,2.208,89.04,425,0.9989
1,425,1,8.0,0,79.12,2.271,91.72,426,0.9989
1,426,1,7.0,0,82.96,2.302,92.64,427,0.9989
1,427,1,6.0,0,83.53,2.313,86.0,428,0.9985
1,428,1,5.0,0,79.04,2.163,93.41,429,0.9989
1,429,1,4.0,0,80.0,2.525,90.61,430,0.9989
1,430,1,3.0,0,84.97,2.54,88.61,431,0.9989
1,431,1,2.0,0,81.9,2.473,89.02,432,0.9989
1,432,1,1.0,0,81.67,2.502,92.31,433,0.9989
1,433,1,0.0,1,79.94,2.581,85.73,434,0.9989
1,434,0,504.0,0,65.34,0.551,101.86,1,0.0002
1,435,0,503.0,0,66.39,0.259,104.77,2,0.0
1,436,0,502.0,0,63.91,0.525,102.46,3,0.0001
1,437,0,501.0,0,60.35,0.359,102.55,4,0.0
1,438,0,500.0,0,67.8,0.484,102.64,5,0.0001
1,439,0,499.0,0,62.46,0.622,106.52,6,0.0002
1,440,0,498.0,0,65.05,0.424,97.95,7,0.0001
1,441,0,497.0,0,66.59,0.774,103.79,8,0.0001
1,442,0,496.0,0,67.27,0.515,99.54,9,0.0001
1,443,0,495.0,0,67.41,0.302,101.47,10,0.0002
1,444,0,494.0,0,65.5,0.556,103.04,11,0.0001
1,445,0,493.0,0,65.7,0.359,98.78,12,0.0001
1,446,0,492.0,0,65.11,0.365,98.73,13,0.0001
1,447,0,491.0,0,62.72,0.391,97.37,14,0.0001
1,448,0,490.0,0,62.57,0.254,102.46,15,0.0001
1,449,0,489.0,0,65.73,0.691,98.26,16,0.0001
